# Hello! welcome to your data! Overload height: 1e+08. RT flexibility: 0.4. Ion ratio flexibility: 0.3. Blank can be this fraction of a sample: 0.3. S/N threshold: 4. Minimum peak height: 1000. Processed on: 2016-10-18 11:28:44
"","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Height","IR","S.N","rawArea"
"257","160802_Blk_0801_FilterBlank","d3-Cysteic Acid",12.39,"Blank used for comparison",715475,69671,NA,Inf,715475
"311","160802_Blk_0801_FilterBlank","d4 Succinic Acid",12.45,"Blank used for comparison",3320585,260780,NA,11.1981689526606,3320585
"347","160802_Blk_0801_FilterBlank","d4 Taurine",10.39,"Blank used for comparison",9366308,520938,NA,199.1239132734,9366308
"383","160802_Blk_0801_FilterBlank","D-Methionine",7.99,"Blank used for comparison",33319392,1497326,NA,Inf,33319392
"401","160802_Blk_0801_FilterBlank","Heavy Alanine",11.2,"Blank used for comparison",6524579,453918,NA,Inf,6524579
"419","160802_Blk_0801_FilterBlank","Heavy Histidine",11.16,"Blank used for comparison",43801308,2012626,NA,13.1288645063533,43801308
"455","160802_Blk_0801_FilterBlank","Heavy Isoleucine",8.02,"Blank used for comparison",15407741,741189,NA,46.481958047738,15407741
"510","160802_Blk_9","AMP",11.38,"Blank used for comparison",2087,536,NA,Inf,2087
"527","160802_Blk_0801_FilterBlank","DHAP",13.27,"Blank used for comparison",7030,2693,NA,Inf,7030
"564","160802_Blk_9","Dimethyl Glycine",9.23,"Blank used for comparison",4949096,158576,NA,1.40160978373542,4949096
"618","160802_Blk_9","Lysine",18.08,"Blank used for comparison",213727,5082,NA,3.12277147085407,213727
"653","160802_Blk_0801_FilterBlank","Methionine",7.87,"Blank used for comparison",15384,2518,NA,Inf,15384
